model,Coverage@K,Gini,LongTailShare@K
GlobalMean,0.10333723653395785,0.9865344037408689,0.8727483443708609
BiasOnly,0.09455503512880561,0.9953209962467237,0.25970198675496686
ItemKNN,0.8214285714285714,0.689913176403989,0.556771523178808
UserKNN,0.7573185011709602,0.7489356088217504,0.8697019867549669
MF,0.05152224824355972,0.9936520677916156,0.0148841059602649
NeuMF,0.4798009367681499,0.8762317182871412,0.25728476821192053
BPR-MF,0.20374707259953162,0.9745415807187059,0.004701986754966888
LightGCN,0.021662763466042154,0.9945588737069032,0.0
