model,train_sec,MAE,RMSE,Precision@K,Recall@K,F1@K,NDCG@K,K,topN_sec
GlobalMean,0.0,0.9331033825874328,1.1161428689956665,0.0088576158940397,0.0021873405032256,0.0035083202341741,0.0087735853699984,10,2.192190408706665
BiasOnly,0.4,0.715609610080719,0.9049856066703796,0.0525,0.0195952931042264,0.0285386977062329,0.0491672548808301,10,0.5888159275054932
ItemKNN,1.82,0.7141888737678528,0.930765688419342,0.0131622516556291,0.0064365996921146,0.0086454194126954,0.0140044516650787,10,0.4110403060913086
UserKNN,3.97,0.7069278955459595,0.9181714057922364,0.012433774834437,0.0043682552225931,0.0064651594685549,0.012947979344155,10,0.4981043338775635
MF,33.5,0.7035607099533081,0.8872655034065247,0.1120364238410596,0.0383496827279098,0.0571404022126711,0.1246781241961032,10,1.1619176864624023
NeuMF,87.5,0.703684389591217,0.9043169021606444,0.0903807947019867,0.0311247459820883,0.0463037201582908,0.0976587514267468,10,17.708824157714844
BPR-MF,48.99,,,0.2861423841059602,0.1065049406453389,0.1552313015484017,0.3202140505577576,10,0.9530923366546632
LightGCN,2270.82,,,0.18240066225165563,0.06707502198935687,0.09808193105973062,0.20408300212809016,10,0.8932247161865234
